Sample,Donor,Sample_type,score,proximity,model,standardized_beta,n_cells,n_fovs
278T,Donor278,T,noncytokine8,nearest_epi,adjusted,-0.02250188132496842,738,16
278T,Donor278,T,noncytokine8,epithelial_mass_k20,unadjusted,-0.0564247936091212,738,16
278T,Donor278,T,noncytokine8,epithelial_mass_k20,adjusted,-0.05979764241862401,738,16
278T,Donor278,T,noncytokine8,nearest_epithelial_mass,unadjusted,-0.04031393450613547,738,16
278T,Donor278,T,noncytokine8,nearest_epithelial_mass,adjusted,-0.06285829844654148,738,16
278T,Donor278,T,three_gene,epi_k20,unadjusted,0.026784577305236604,738,16
278T,Donor278,T,three_gene,epi_k20,adjusted,0.04819990733012984,738,16
278T,Donor278,T,three_gene,nearest_epi,unadjusted,-0.017880213371290136,738,16
278T,Donor278,T,three_gene,nearest_epi,adjusted,-0.008960791531061652,738,16
278T,Donor278,T,three_gene,epithelial_mass_k20,unadjusted,0.017704228856285673,738,16
278T,Donor278,T,three_gene,epithelial_mass_k20,adjusted,0.01807118806782259,738,16
278T,Donor278,T,three_gene,nearest_epithelial_mass,unadjusted,0.018458466193622746,738,16
278T,Donor278,T,three_gene,nearest_epithelial_mass,adjusted,-0.0012035548257997948,738,16
280N,Donor280,N,core13,epi_k20,unadjusted,0.15123536172654767,534,10
280N,Donor280,N,core13,epi_k20,adjusted,0.05075639864861298,534,10
280N,Donor280,N,core13,nearest_epi,unadjusted,0.15208834790043296,534,10
280N,Donor280,N,core13,nearest_epi,adjusted,0.08850664284196845,534,10
280N,Donor280,N,core13,epithelial_mass_k20,unadjusted,0.1557450612778021,534,10
280N,Donor280,N,core13,epithelial_mass_k20,adjusted,0.12534915616374073,534,10
280N,Donor280,N,core13,nearest_epithelial_mass,unadjusted,0.15101666821603132,534,10
280N,Donor280,N,core13,nearest_epithelial_mass,adjusted,0.08494949824878184,534,10
280N,Donor280,N,noncytokine8,epi_k20,unadjusted,0.16424274312059958,534,10
280N,Donor280,N,noncytokine8,epi_k20,adjusted,0.051199530361751344,534,10
280N,Donor280,N,noncytokine8,nearest_epi,unadjusted,0.1588357814383768,534,10
280N,Donor280,N,noncytokine8,nearest_epi,adjusted,0.0770749570793668,534,10
280N,Donor280,N,noncytokine8,epithelial_mass_k20,unadjusted,0.16090524148402052,534,10
280N,Donor280,N,noncytokine8,epithelial_mass_k20,adjusted,0.12381324502437269,534,10
280N,Donor280,N,noncytokine8,nearest_epithelial_mass,unadjusted,0.16448442131426752,534,10
280N,Donor280,N,noncytokine8,nearest_epithelial_mass,adjusted,0.08988523376296391,534,10
280N,Donor280,N,three_gene,epi_k20,unadjusted,-0.012007367998646226,534,10
280N,Donor280,N,three_gene,epi_k20,adjusted,0.01137100586103129,534,10
280N,Donor280,N,three_gene,nearest_epi,unadjusted,-0.0694477468308804,534,10
280N,Donor280,N,three_gene,nearest_epi,adjusted,-0.04776653325624755,534,10
280N,Donor280,N,three_gene,epithelial_mass_k20,unadjusted,0.06562759315552247,534,10
280N,Donor280,N,three_gene,epithelial_mass_k20,adjusted,0.08853688547110809,534,10
280N,Donor280,N,three_gene,nearest_epithelial_mass,unadjusted,0.02819609293106718,534,10
280N,Donor280,N,three_gene,nearest_epithelial_mass,adjusted,0.05467603827319657,534,10
280T,Donor280,T,core13,epi_k20,unadjusted,-0.12005646420093644,384,13
280T,Donor280,T,core13,epi_k20,adjusted,-0.12216662657510685,384,13
280T,Donor280,T,core13,nearest_epi,unadjusted,-0.15003124567920395,384,13
280T,Donor280,T,core13,nearest_epi,adjusted,-0.0977141824322391,384,13
280T,Donor280,T,core13,epithelial_mass_k20,unadjusted,-0.17238777443400516,384,13
280T,Donor280,T,core13,epithelial_mass_k20,adjusted,-0.17536721141120934,384,13
280T,Donor280,T,core13,nearest_epithelial_mass,unadjusted,-0.13217275361084416,384,13
280T,Donor280,T,core13,nearest_epithelial_mass,adjusted,-0.16957706100956296,384,13
280T,Donor280,T,noncytokine8,epi_k20,unadjusted,-0.11713022129694195,384,13
280T,Donor280,T,noncytokine8,epi_k20,adjusted,-0.1343260273572992,384,13
280T,Donor280,T,noncytokine8,nearest_epi,unadjusted,-0.13005771749881742,384,13
280T,Donor280,T,noncytokine8,nearest_epi,adjusted,-0.07987593654672945,384,13
280T,Donor280,T,noncytokine8,epithelial_mass_k20,unadjusted,-0.16621127324122978,384,13
280T,Donor280,T,noncytokine8,epithelial_mass_k20,adjusted,-0.17881294676389728,384,13
280T,Donor280,T,noncytokine8,nearest_epithelial_mass,unadjusted,-0.1135140933292064,384,13
280T,Donor280,T,noncytokine8,nearest_epithelial_mass,adjusted,-0.15836939992937193,384,13
280T,Donor280,T,three_gene,epi_k20,unadjusted,-0.09563374837354878,384,13
280T,Donor280,T,three_gene,epi_k20,adjusted,-0.08110949755185348,384,13
280T,Donor280,T,three_gene,nearest_epi,unadjusted,-0.11524115656296433,384,13
280T,Donor280,T,three_gene,nearest_epi,adjusted,-0.020453478658072188,384,13
280T,Donor280,T,three_gene,epithelial_mass_k20,unadjusted,-0.08065473581720058,384,13
280T,Donor280,T,three_gene,epithelial_mass_k20,adjusted,-0.07020991731056297,384,13
280T,Donor280,T,three_gene,nearest_epithelial_mass,unadjusted,-0.042283912270478174,384,13
280T,Donor280,T,three_gene,nearest_epithelial_mass,adjusted,-0.03930512505620693,384,13
46T,Donor46,T,core13,epi_k20,unadjusted,7.928899236134383e-05,636,14
46T,Donor46,T,core13,epi_k20,adjusted,-0.15058597900016024,636,14
